county,dhhs_cases,dhhs_deaths

Alamance County,178,5
Alexander County,12,0
Alleghany County,8,0
Anson County,38,0
Ashe County,10,0
Beaufort County,25,0
Bertie County,61,2
Bladen County,54,1
Brunswick County,50,2
Buncombe County,101,4
Burke County,137,11
Cabarrus County,350,17
Caldwell County,60,0
Camden County,2,0
Carteret County,31,3
Caswell County,41,1
Catawba County,82,2
Chatham County,458,11
Cherokee County,18,1
Chowan County,11,0
Clay County,5,0
Cleveland County,50,2
Columbus County,205,14
Craven County,55,4
Cumberland County,351,9
Currituck County,9,0
Dare County,17,1
Davidson County,205,10
Davie County,36,2
Duplin County,258,3
Durham County,873,32
Edgecombe County,155,7
Forsyth County,379,5
Franklin County,111,20
Gaston County,175,5
Gates County,11,0
Graham County,2,0
Granville County,167,6
Greene County,36,1
Guilford County,609,38
Halifax County,94,1
Harnett County,228,13
Haywood County,17,0
Henderson County,227,28
Hertford County,51,1
Hoke County,123,0
Hyde County,1,0
Iredell County,153,5
Jackson County,21,1
Johnston County,209,16
Jones County,20,2
Lee County,277,1
Lenoir County,122,4
Lincoln County,39,0
Macon County,3,1
Madison County,1,0
Martin County,31,1
McDowell County,29,1
Mecklenburg County,"2,134",62
Mitchell County,5,0
Montgomery County,42,2
Moore County,111,9
Nash County,121,3
New Hanover County,97,3
Northampton County,106,7
Onslow County,54,2
Orange County,253,33
Pamlico County,8,0
Pasquotank County,81,3
Pender County,39,1
Perquimans County,17,2
Person County,31,1
Pitt County,169,2
Polk County,29,0
Randolph County,354,6
Richmond County,91,2
Robeson County,391,4
Rockingham County,42,2
Rowan County,488,24
Rutherford County,154,5
Sampson County,167,1
Scotland County,41,0
Stanly County,29,4
Stokes County,11,0
Surry County,43,1
Swain County,5,0
Transylvania County,7,0
Tyrrell County,4,0
Union County,301,16
Vance County,162,12
Wake County,"1,048",23
Warren County,23,0
Washington County,25,3
Watauga County,9,0
Wayne County,752,13
Wilkes County,242,1
Wilson County,214,8
Yadkin County,54,1
Yancey County,9,0
