county,dhhs_cases,dhhs_deaths

Alamance County,63,0
Alexander County,4,0
Alleghany County,2,0
Anson County,18,0
Ashe County,4,0
Beaufort County,16,0
Bertie County,31,1
Bladen County,4,0
Brunswick County,39,2
Buncombe County,49,3
Burke County,81,8
Cabarrus County,231,6
Caldwell County,26,0
Carteret County,22,2
Caswell County,13,0
Catawba County,46,1
Chatham County,156,6
Cherokee County,14,1
Chowan County,6,0
Clay County,5,0
Cleveland County,45,2
Columbus County,74,5
Craven County,37,4
Cumberland County,137,5
Currituck County,2,0
Dare County,12,1
Davidson County,107,2
Davie County,24,2
Duplin County,41,0
Durham County,459,7
Edgecombe County,62,1
Forsyth County,139,5
Franklin County,77,13
Gaston County,126,3
Gates County,6,0
Granville County,123,5
Greene County,14,0
Guilford County,240,15
Halifax County,35,1
Harnett County,72,5
Haywood County,5,0
Henderson County,129,14
Hertford County,14,1
Hoke County,34,0
Iredell County,90,2
Jackson County,3,0
Johnston County,121,10
Jones County,9,2
Lee County,65,0
Lenoir County,30,1
Lincoln County,24,0
Macon County,2,1
Martin County,12,0
McDowell County,20,0
Mecklenburg County,"1,362",33
Mitchell County,5,0
Montgomery County,19,1
Moore County,67,2
Nash County,68,1
New Hanover County,66,2
Northampton County,74,2
Onslow County,33,1
Orange County,199,8
Pamlico County,6,0
Pasquotank County,33,1
Pender County,10,0
Perquimans County,8,0
Person County,19,0
Pitt County,100,2
Polk County,11,0
Randolph County,97,2
Richmond County,28,2
Robeson County,53,0
Rockingham County,22,2
Rowan County,290,16
Rutherford County,92,4
Sampson County,25,0
Scotland County,16,0
Stanly County,24,4
Stokes County,11,0
Surry County,12,0
Transylvania County,7,0
Tyrrell County,4,0
Union County,186,6
Vance County,38,1
Wake County,626,11
Warren County,3,0
Washington County,21,2
Watauga County,8,0
Wayne County,596,6
Wilkes County,8,1
Wilson County,130,5
Yadkin County,11,1
