county,dhhs_cases,dhhs_deaths

Alamance County,52,0
Alexander County,3,0
Alleghany County,2,0
Anson County,18,0
Ashe County,4,0
Beaufort County,15,0
Bertie County,24,1
Bladen County,4,0
Brunswick County,37,2
Buncombe County,46,3
Burke County,75,8
Cabarrus County,216,5
Caldwell County,23,0
Carteret County,21,2
Caswell County,8,0
Catawba County,43,1
Chatham County,131,1
Cherokee County,14,1
Chowan County,6,0
Clay County,5,0
Cleveland County,44,1
Columbus County,61,3
Craven County,36,3
Cumberland County,127,6
Currituck County,2,0
Dare County,11,1
Davidson County,96,2
Davie County,24,2
Duplin County,32,0
Durham County,398,4
Edgecombe County,57,1
Forsyth County,128,5
Franklin County,74,11
Gaston County,118,3
Gates County,4,0
Granville County,114,5
Greene County,14,0
Guilford County,190,14
Halifax County,33,1
Harnett County,62,5
Haywood County,5,0
Henderson County,129,13
Hertford County,10,1
Hoke County,25,0
Iredell County,86,2
Jackson County,3,0
Johnston County,122,8
Jones County,9,1
Lee County,44,0
Lenoir County,26,0
Lincoln County,21,0
Macon County,2,1
Martin County,11,0
McDowell County,20,0
Mecklenburg County,"1,245",31
Mitchell County,5,0
Montgomery County,18,1
Moore County,67,2
Nash County,63,1
New Hanover County,62,1
Northampton County,73,2
Onslow County,33,1
Orange County,189,3
Pamlico County,6,0
Pasquotank County,32,1
Pender County,9,0
Perquimans County,8,0
Person County,18,0
Pitt County,96,1
Polk County,10,0
Randolph County,78,2
Richmond County,20,2
Robeson County,28,0
Rockingham County,20,2
Rowan County,254,13
Rutherford County,80,3
Sampson County,21,0
Scotland County,13,0
Stanly County,21,3
Stokes County,10,0
Surry County,12,0
Transylvania County,7,0
Tyrrell County,4,0
Union County,171,5
Vance County,34,1
Wake County,611,8
Warren County,3,0
Washington County,22,2
Watauga County,8,0
Wayne County,581,5
Wilkes County,5,1
Wilson County,118,4
Yadkin County,11,1
