county,dhhs_cases,dhhs_deaths

Alamance County,55,0
Alexander County,3,0
Alleghany County,2,0
Anson County,18,0
Ashe County,4,0
Beaufort County,16,0
Bertie County,27,1
Bladen County,4,0
Brunswick County,38,2
Buncombe County,46,3
Burke County,77,8
Cabarrus County,228,6
Caldwell County,23,0
Carteret County,21,2
Caswell County,9,0
Catawba County,43,1
Chatham County,135,6
Cherokee County,14,1
Chowan County,6,0
Clay County,5,0
Cleveland County,45,2
Columbus County,66,4
Craven County,36,4
Cumberland County,129,6
Currituck County,2,0
Dare County,11,1
Davidson County,103,2
Davie County,24,2
Duplin County,35,0
Durham County,438,6
Edgecombe County,60,1
Forsyth County,133,5
Franklin County,75,13
Gaston County,123,3
Gates County,4,0
Granville County,118,5
Greene County,14,0
Guilford County,226,14
Halifax County,34,1
Harnett County,66,5
Haywood County,5,0
Henderson County,129,13
Hertford County,11,1
Hoke County,30,0
Iredell County,89,2
Jackson County,3,0
Johnston County,122,10
Jones County,9,2
Lee County,49,0
Lenoir County,27,0
Lincoln County,24,0
Macon County,2,1
Martin County,11,0
McDowell County,20,0
Mecklenburg County,"1,284",33
Mitchell County,5,0
Montgomery County,18,1
Moore County,67,2
Nash County,68,1
New Hanover County,62,2
Northampton County,73,2
Onslow County,33,1
Orange County,195,7
Pamlico County,6,0
Pasquotank County,32,1
Pender County,9,0
Perquimans County,8,0
Person County,17,0
Pitt County,99,1
Polk County,11,0
Randolph County,82,2
Richmond County,22,2
Robeson County,34,0
Rockingham County,20,2
Rowan County,269,14
Rutherford County,80,4
Sampson County,23,0
Scotland County,15,0
Stanly County,22,4
Stokes County,11,0
Surry County,12,0
Transylvania County,7,0
Tyrrell County,4,0
Union County,179,6
Vance County,36,1
Wake County,616,9
Warren County,3,0
Washington County,21,2
Watauga County,8,0
Wayne County,585,5
Wilkes County,5,1
Wilson County,121,5
Yadkin County,11,1
