county,dhhs_cases,dhhs_deaths

Alamance County,91,1
Alexander County,4,0
Alleghany County,2,0
Anson County,20,0
Ashe County,4,0
Beaufort County,20,0
Bertie County,38,1
Bladen County,10,0
Brunswick County,40,2
Buncombe County,51,3
Burke County,88,8
Cabarrus County,254,9
Caldwell County,31,0
Camden County,1,0
Carteret County,28,3
Caswell County,18,0
Catawba County,49,1
Chatham County,262,6
Cherokee County,16,1
Chowan County,6,0
Clay County,5,0
Cleveland County,46,2
Columbus County,90,7
Craven County,39,4
Cumberland County,193,6
Currituck County,2,0
Dare County,11,1
Davidson County,155,4
Davie County,29,2
Duplin County,72,0
Durham County,539,13
Edgecombe County,75,2
Forsyth County,156,5
Franklin County,100,14
Gaston County,133,3
Gates County,7,0
Granville County,240,5
Greene County,15,0
Guilford County,301,17
Halifax County,49,1
Harnett County,137,5
Haywood County,6,0
Henderson County,156,14
Hertford County,28,1
Hoke County,61,0
Iredell County,97,3
Jackson County,7,0
Johnston County,137,10
Jones County,12,2
Lee County,114,0
Lenoir County,45,3
Lincoln County,25,0
Macon County,2,1
Madison County,1,0
Martin County,15,0
McDowell County,21,1
Mecklenburg County,"1,492",41
Mitchell County,5,0
Montgomery County,22,1
Moore County,68,2
Nash County,82,1
New Hanover County,74,3
Northampton County,81,3
Onslow County,43,1
Orange County,207,13
Pamlico County,7,0
Pasquotank County,34,1
Pender County,10,0
Perquimans County,11,0
Person County,19,0
Pitt County,110,2
Polk County,17,0
Randolph County,137,3
Richmond County,36,2
Robeson County,104,3
Rockingham County,24,2
Rowan County,352,16
Rutherford County,119,4
Sampson County,39,0
Scotland County,23,0
Stanly County,29,4
Stokes County,11,0
Surry County,12,0
Transylvania County,7,0
Tyrrell County,4,0
Union County,205,9
Vance County,80,3
Wake County,671,13
Warren County,4,0
Washington County,23,2
Watauga County,8,0
Wayne County,635,8
Wilkes County,21,1
Wilson County,150,6
Yadkin County,12,1
