county,dhhs_cases,dhhs_deaths

Alamance County,207,11
Alexander County,21,0
Alleghany County,11,0
Anson County,47,0
Ashe County,27,0
Beaufort County,27,0
Bertie County,87,3
Bladen County,71,2
Brunswick County,55,2
Buncombe County,168,4
Burke County,195,14
Cabarrus County,379,19
Caldwell County,83,2
Camden County,2,0
Carteret County,35,3
Caswell County,43,1
Catawba County,100,2
Chatham County,507,24
Cherokee County,17,1
Chowan County,14,0
Clay County,5,0
Cleveland County,54,2
Columbus County,235,18
Craven County,94,4
Cumberland County,468,12
Currituck County,11,0
Dare County,18,1
Davidson County,288,10
Davie County,45,2
Duplin County,388,8
Durham County,986,36
Edgecombe County,170,8
Forsyth County,651,7
Franklin County,122,20
Gaston County,203,6
Gates County,14,0
Graham County,2,0
Granville County,196,6
Greene County,45,1
Guilford County,846,47
Halifax County,106,1
Harnett County,246,17
Haywood County,25,0
Henderson County,282,38
Hertford County,52,1
Hoke County,149,0
Hyde County,1,0
Iredell County,188,5
Jackson County,24,1
Johnston County,247,17
Jones County,21,2
Lee County,317,3
Lenoir County,153,5
Lincoln County,48,0
Macon County,4,1
Madison County,2,0
Martin County,35,4
McDowell County,30,1
Mecklenburg County,"2,591",63
Mitchell County,8,0
Montgomery County,56,3
Moore County,116,10
Nash County,149,3
New Hanover County,120,3
Northampton County,129,10
Onslow County,71,2
Orange County,275,36
Pamlico County,8,0
Pasquotank County,88,7
Pender County,45,1
Perquimans County,23,2
Person County,31,1
Pitt County,207,2
Polk County,31,3
Randolph County,455,6
Richmond County,112,2
Robeson County,518,6
Rockingham County,46,2
Rowan County,526,25
Rutherford County,153,5
Sampson County,244,1
Scotland County,52,0
Stanly County,32,4
Stokes County,30,0
Surry County,89,1
Swain County,6,0
Transylvania County,7,0
Tyrrell County,4,0
Union County,352,16
Vance County,191,16
Wake County,"1,212",28
Warren County,29,0
Washington County,26,3
Watauga County,9,0
Wayne County,832,15
Wilkes County,423,1
Wilson County,238,9
Yadkin County,103,1
Yancey County,8,0
