county,dhhs_cases,dhhs_deaths

Alamance County,143,3
Alexander County,8,0
Alleghany County,7,0
Anson County,33,0
Ashe County,6,0
Beaufort County,22,0
Bertie County,57,2
Bladen County,45,1
Brunswick County,49,2
Buncombe County,88,4
Burke County,126,11
Cabarrus County,333,17
Caldwell County,50,0
Camden County,2,0
Carteret County,29,3
Caswell County,38,0
Catawba County,65,1
Chatham County,421,11
Cherokee County,18,1
Chowan County,7,0
Clay County,5,0
Cleveland County,50,2
Columbus County,184,11
Craven County,46,4
Cumberland County,336,9
Currituck County,7,0
Dare County,14,1
Davidson County,191,9
Davie County,31,2
Duplin County,161,3
Durham County,807,29
Edgecombe County,137,7
Forsyth County,332,5
Franklin County,111,20
Gaston County,157,4
Gates County,10,0
Graham County,2,0
Granville County,164,5
Greene County,33,0
Guilford County,536,35
Halifax County,77,1
Harnett County,199,12
Haywood County,16,0
Henderson County,216,23
Hertford County,45,1
Hoke County,113,0
Hyde County,1,0
Iredell County,137,5
Jackson County,20,1
Johnston County,189,16
Jones County,19,2
Lee County,229,1
Lenoir County,97,4
Lincoln County,37,0
Macon County,3,1
Madison County,1,0
Martin County,27,1
McDowell County,28,1
Mecklenburg County,"1,922",58
Mitchell County,5,0
Montgomery County,43,2
Moore County,109,7
Nash County,107,3
New Hanover County,91,3
Northampton County,102,5
Onslow County,53,2
Orange County,239,30
Pamlico County,8,0
Pasquotank County,39,2
Pender County,20,1
Perquimans County,14,2
Person County,27,1
Pitt County,152,2
Polk County,30,0
Randolph County,290,5
Richmond County,80,2
Robeson County,313,4
Rockingham County,36,2
Rowan County,452,24
Rutherford County,148,5
Sampson County,126,1
Scotland County,34,0
Stanly County,29,4
Stokes County,10,0
Surry County,26,1
Swain County,5,0
Transylvania County,7,0
Tyrrell County,4,0
Union County,283,14
Vance County,147,10
Wake County,961,21
Warren County,19,0
Washington County,25,3
Watauga County,9,0
Wayne County,699,12
Wilkes County,186,1
Wilson County,192,8
Yadkin County,33,1
Yancey County,7,0
