county,dhhs_cases,dhhs_deaths

Alamance County,128,3
Alexander County,6,0
Alleghany County,7,0
Anson County,31,0
Ashe County,5,0
Beaufort County,21,0
Bertie County,53,2
Bladen County,40,1
Brunswick County,49,2
Buncombe County,78,4
Burke County,117,10
Cabarrus County,323,16
Caldwell County,43,0
Camden County,2,0
Carteret County,28,3
Caswell County,36,0
Catawba County,63,1
Chatham County,412,11
Cherokee County,19,1
Chowan County,7,0
Clay County,5,0
Cleveland County,48,2
Columbus County,175,11
Craven County,43,4
Cumberland County,318,8
Currituck County,5,0
Dare County,14,1
Davidson County,186,9
Davie County,31,2
Duplin County,146,3
Durham County,793,27
Edgecombe County,128,5
Forsyth County,308,5
Franklin County,106,20
Gaston County,155,4
Gates County,10,0
Graham County,2,0
Granville County,161,5
Greene County,22,0
Guilford County,507,35
Halifax County,73,1
Harnett County,192,10
Haywood County,15,0
Henderson County,213,22
Hertford County,46,1
Hoke County,103,0
Hyde County,1,0
Iredell County,136,5
Jackson County,20,1
Johnston County,188,16
Jones County,19,2
Lee County,207,1
Lenoir County,91,4
Lincoln County,37,0
Macon County,3,1
Madison County,1,0
Martin County,25,1
McDowell County,28,1
Mecklenburg County,"1,850",57
Mitchell County,5,0
Montgomery County,41,2
Moore County,106,3
Nash County,104,3
New Hanover County,84,3
Northampton County,93,4
Onslow County,52,2
Orange County,230,20
Pamlico County,8,0
Pasquotank County,38,2
Pender County,19,1
Perquimans County,14,2
Person County,23,1
Pitt County,145,2
Polk County,27,0
Randolph County,275,4
Richmond County,65,2
Robeson County,288,3
Rockingham County,34,2
Rowan County,439,24
Rutherford County,145,5
Sampson County,108,1
Scotland County,32,0
Stanly County,30,4
Stokes County,10,0
Surry County,20,1
Swain County,4,0
Transylvania County,7,0
Tyrrell County,4,0
Union County,275,13
Vance County,120,10
Wake County,937,21
Warren County,18,0
Washington County,25,3
Watauga County,8,0
Wayne County,687,12
Wilkes County,147,1
Wilson County,184,7
Yadkin County,27,1
Yancey County,1,0
