county,dhhs_cases,dhhs_deaths

Alamance County,45,0
Alexander County,3,0
Alleghany County,2,0
Anson County,14,0
Ashe County,4,0
Beaufort County,13,0
Bertie County,17,1
Bladen County,1,0
Brunswick County,36,2
Buncombe County,41,3
Burke County,59,5
Cabarrus County,198,3
Caldwell County,19,0
Carteret County,22,1
Caswell County,4,0
Catawba County,37,1
Chatham County,80,0
Cherokee County,13,1
Chowan County,5,0
Clay County,4,0
Cleveland County,41,1
Columbus County,41,1
Craven County,31,1
Cumberland County,93,1
Currituck County,2,0
Dare County,11,1
Davidson County,91,2
Davie County,23,2
Duplin County,17,0
Durham County,350,2
Edgecombe County,42,1
Forsyth County,122,5
Franklin County,66,5
Gaston County,93,3
Gates County,4,0
Granville County,104,4
Greene County,12,0
Guilford County,154,10
Halifax County,26,0
Harnett County,53,2
Haywood County,4,0
Henderson County,106,5
Hertford County,4,1
Hoke County,22,0
Iredell County,70,2
Jackson County,2,0
Johnston County,109,8
Jones County,8,1
Lee County,18,0
Lenoir County,16,0
Lincoln County,18,0
Macon County,2,1
Martin County,7,0
McDowell County,18,0
Mecklenburg County,"1,084",19
Mitchell County,4,0
Montgomery County,15,1
Moore County,67,0
Nash County,45,1
New Hanover County,58,1
Northampton County,69,1
Onslow County,31,1
Orange County,172,2
Pamlico County,6,0
Pasquotank County,16,0
Pender County,5,0
Perquimans County,8,0
Person County,11,0
Pitt County,80,1
Polk County,9,0
Randolph County,63,2
Richmond County,15,1
Robeson County,12,0
Rockingham County,16,2
Rowan County,214,4
Rutherford County,55,2
Sampson County,16,0
Scotland County,9,0
Stanly County,19,1
Stokes County,10,0
Surry County,11,0
Transylvania County,6,0
Tyrrell County,4,0
Union County,129,3
Vance County,25,1
Wake County,552,1
Warren County,3,0
Washington County,18,2
Watauga County,8,0
Wayne County,103,4
Wilkes County,4,1
Wilson County,83,3
Yadkin County,11,1
