county,dhhs_cases,dhhs_deaths

Alamance County,49,0
Alexander County,3,0
Alleghany County,2,0
Anson County,15,0
Ashe County,4,0
Beaufort County,14,0
Bertie County,21,1
Bladen County,2,0
Brunswick County,36,2
Buncombe County,46,3
Burke County,67,6
Cabarrus County,208,3
Caldwell County,22,0
Carteret County,22,2
Caswell County,7,0
Catawba County,40,1
Chatham County,119,0
Cherokee County,14,1
Chowan County,6,0
Clay County,5,0
Cleveland County,44,1
Columbus County,57,3
Craven County,34,2
Cumberland County,112,3
Currituck County,2,0
Dare County,11,1
Davidson County,94,2
Davie County,23,2
Duplin County,24,0
Durham County,383,5
Edgecombe County,58,1
Forsyth County,125,5
Franklin County,69,7
Gaston County,111,3
Gates County,4,0
Granville County,110,5
Greene County,13,0
Guilford County,172,13
Halifax County,30,1
Harnett County,58,3
Haywood County,5,0
Henderson County,120,8
Hertford County,9,1
Hoke County,23,0
Iredell County,80,2
Jackson County,3,0
Johnston County,123,8
Jones County,8,1
Lee County,34,0
Lenoir County,21,0
Lincoln County,19,0
Macon County,2,1
Martin County,9,0
McDowell County,19,0
Mecklenburg County,"1,178",24
Mitchell County,5,0
Montgomery County,18,1
Moore County,67,0
Nash County,61,1
New Hanover County,62,1
Northampton County,72,2
Onslow County,33,1
Orange County,187,3
Pamlico County,6,0
Pasquotank County,20,0
Pender County,7,0
Perquimans County,8,0
Person County,15,0
Pitt County,93,1
Polk County,10,0
Randolph County,74,2
Richmond County,19,2
Robeson County,21,0
Rockingham County,18,2
Rowan County,247,10
Rutherford County,75,2
Sampson County,22,0
Scotland County,12,0
Stanly County,20,3
Stokes County,10,0
Surry County,17,0
Transylvania County,7,0
Tyrrell County,4,0
Union County,149,3
Vance County,32,1
Wake County,592,4
Warren County,3,0
Washington County,20,2
Watauga County,8,0
Wayne County,463,4
Wilkes County,4,1
Wilson County,112,4
Yadkin County,11,1
