county,dhhs_cases,dhhs_deaths

Alamance County,124,2
Alexander County,4,0
Alleghany County,6,0
Anson County,30,0
Ashe County,5,0
Beaufort County,21,0
Bertie County,47,2
Bladen County,27,0
Brunswick County,44,2
Buncombe County,73,4
Burke County,110,9
Cabarrus County,313,12
Caldwell County,36,0
Camden County,2,0
Carteret County,27,3
Caswell County,32,0
Catawba County,56,1
Chatham County,378,9
Cherokee County,19,1
Chowan County,6,0
Clay County,5,0
Cleveland County,47,2
Columbus County,166,10
Craven County,42,4
Cumberland County,276,8
Currituck County,5,0
Dare County,13,1
Davidson County,179,8
Davie County,31,2
Duplin County,115,1
Durham County,762,22
Edgecombe County,105,5
Forsyth County,267,5
Franklin County,105,19
Gaston County,145,3
Gates County,9,0
Graham County,1,0
Granville County,159,5
Greene County,19,0
Guilford County,439,31
Halifax County,62,1
Harnett County,174,8
Haywood County,12,0
Henderson County,201,21
Hertford County,42,1
Hoke County,97,0
Hyde County,1,0
Iredell County,119,5
Jackson County,16,0
Johnston County,164,14
Jones County,18,2
Lee County,198,1
Lenoir County,81,4
Lincoln County,28,0
Macon County,3,1
Madison County,1,0
Martin County,20,0
McDowell County,27,1
Mecklenburg County,"1,724",49
Mitchell County,5,0
Montgomery County,36,2
Moore County,83,3
Nash County,98,3
New Hanover County,79,3
Northampton County,89,4
Onslow County,50,1
Orange County,226,18
Pamlico County,8,0
Pasquotank County,37,1
Pender County,16,0
Perquimans County,14,1
Person County,23,1
Pitt County,129,2
Polk County,25,0
Randolph County,238,3
Richmond County,57,2
Robeson County,201,3
Rockingham County,26,2
Rowan County,388,24
Rutherford County,145,4
Sampson County,88,0
Scotland County,29,0
Stanly County,29,4
Stokes County,10,0
Surry County,16,1
Swain County,4,0
Transylvania County,7,0
Tyrrell County,4,0
Union County,263,12
Vance County,112,7
Wake County,874,19
Warren County,16,0
Washington County,24,3
Watauga County,8,0
Wayne County,677,11
Wilkes County,92,1
Wilson County,175,7
Yadkin County,23,1
Yancey County,1,0
