county,dhhs_cases,dhhs_deaths

Alamance County,49,0
Alexander County,3,0
Alleghany County,2,0
Anson County,18,0
Ashe County,4,0
Beaufort County,14,0
Bertie County,24,1
Bladen County,2,0
Brunswick County,36,2
Buncombe County,45,3
Burke County,70,6
Cabarrus County,212,3
Caldwell County,23,0
Carteret County,22,2
Caswell County,8,0
Catawba County,40,1
Chatham County,127,0
Cherokee County,14,1
Chowan County,6,0
Clay County,5,0
Cleveland County,43,1
Columbus County,59,3
Craven County,36,3
Cumberland County,112,3
Currituck County,2,0
Dare County,11,1
Davidson County,94,2
Davie County,23,2
Duplin County,26,0
Durham County,392,4
Edgecombe County,57,1
Forsyth County,126,5
Franklin County,71,7
Gaston County,112,3
Gates County,4,0
Granville County,112,5
Greene County,13,0
Guilford County,175,13
Halifax County,33,1
Harnett County,61,3
Haywood County,5,0
Henderson County,128,9
Hertford County,9,1
Hoke County,23,0
Iredell County,82,2
Jackson County,3,0
Johnston County,123,8
Jones County,8,1
Lee County,38,0
Lenoir County,21,0
Lincoln County,19,0
Macon County,2,1
Martin County,9,0
McDowell County,20,0
Mecklenburg County,"1,210",29
Mitchell County,5,0
Montgomery County,18,1
Moore County,67,0
Nash County,61,1
New Hanover County,62,1
Northampton County,72,2
Onslow County,33,1
Orange County,187,3
Pamlico County,6,0
Pasquotank County,32,0
Pender County,8,0
Perquimans County,8,0
Person County,15,0
Pitt County,93,1
Polk County,10,0
Randolph County,77,2
Richmond County,20,2
Robeson County,27,0
Rockingham County,19,2
Rowan County,250,10
Rutherford County,84,2
Sampson County,22,0
Scotland County,12,0
Stanly County,21,3
Stokes County,10,0
Surry County,17,0
Transylvania County,8,0
Tyrrell County,4,0
Union County,163,4
Vance County,33,1
Wake County,599,4
Warren County,3,0
Washington County,21,2
Watauga County,8,0
Wayne County,572,4
Wilkes County,4,1
Wilson County,116,4
Yadkin County,11,1
