county,dhhs_cases,dhhs_deaths

Alamance County,47,0
Alexander County,3,0
Alleghany County,2,0
Anson County,15,0
Ashe County,4,0
Beaufort County,13,0
Bertie County,20,1
Bladen County,2,0
Brunswick County,36,2
Buncombe County,45,3
Burke County,66,5
Cabarrus County,204,3
Caldwell County,21,0
Carteret County,22,2
Caswell County,7,0
Catawba County,40,1
Chatham County,101,0
Cherokee County,14,1
Chowan County,6,0
Clay County,5,0
Cleveland County,42,1
Columbus County,51,2
Craven County,33,2
Cumberland County,105,3
Currituck County,2,0
Dare County,11,1
Davidson County,94,2
Davie County,23,2
Duplin County,22,0
Durham County,380,4
Edgecombe County,49,1
Forsyth County,124,5
Franklin County,69,7
Gaston County,107,3
Gates County,4,0
Granville County,109,5
Greene County,13,0
Guilford County,168,13
Halifax County,30,1
Harnett County,55,3
Haywood County,5,0
Henderson County,108,6
Hertford County,6,1
Hoke County,23,0
Iredell County,79,2
Jackson County,3,0
Johnston County,121,8
Jones County,8,1
Lee County,30,0
Lenoir County,18,0
Lincoln County,19,0
Macon County,2,1
Martin County,8,0
McDowell County,19,0
Mecklenburg County,"1,153",24
Mitchell County,5,0
Montgomery County,17,1
Moore County,67,0
Nash County,53,1
New Hanover County,62,1
Northampton County,69,1
Onslow County,33,1
Orange County,183,3
Pamlico County,6,0
Pasquotank County,20,0
Pender County,6,0
Perquimans County,8,0
Person County,16,0
Pitt County,89,1
Polk County,10,0
Randolph County,69,2
Richmond County,18,2
Robeson County,18,0
Rockingham County,16,2
Rowan County,244,10
Rutherford County,65,2
Sampson County,19,0
Scotland County,11,0
Stanly County,20,1
Stokes County,10,0
Surry County,17,0
Transylvania County,7,0
Tyrrell County,4,0
Union County,139,3
Vance County,30,1
Wake County,579,4
Warren County,3,0
Washington County,19,2
Watauga County,8,0
Wayne County,316,4
Wilkes County,4,1
Wilson County,103,4
Yadkin County,11,1
