county,dhhs_cases,dhhs_deaths

Alamance County,48,0
Alexander County,3,0
Alleghany County,2,0
Anson County,14,0
Ashe County,4,0
Beaufort County,13,0
Bertie County,18,1
Bladen County,1,0
Brunswick County,36,2
Buncombe County,42,3
Burke County,64,5
Cabarrus County,201,3
Caldwell County,22,0
Carteret County,22,1
Caswell County,7,0
Catawba County,40,1
Chatham County,85,0
Cherokee County,14,1
Chowan County,6,0
Clay County,5,0
Cleveland County,42,1
Columbus County,50,2
Craven County,33,1
Cumberland County,97,3
Currituck County,2,0
Dare County,11,1
Davidson County,94,2
Davie County,23,2
Duplin County,19,0
Durham County,360,4
Edgecombe County,44,1
Forsyth County,122,5
Franklin County,67,5
Gaston County,104,3
Gates County,4,0
Granville County,108,4
Greene County,12,0
Guilford County,162,12
Halifax County,28,1
Harnett County,54,3
Haywood County,4,0
Henderson County,106,5
Hertford County,7,1
Hoke County,22,0
Iredell County,75,2
Jackson County,2,0
Johnston County,118,8
Jones County,8,1
Lee County,21,0
Lenoir County,17,0
Lincoln County,20,0
Macon County,2,1
Martin County,8,0
McDowell County,19,0
Mecklenburg County,1136,21
Mitchell County,5,0
Montgomery County,17,1
Moore County,67,0
Nash County,50,1
New Hanover County,60,1
Northampton County,69,1
Onslow County,32,1
Orange County,175,3
Pamlico County,6,0
Pasquotank County,20,0
Pender County,5,0
Perquimans County,8,0
Person County,14,0
Pitt County,83,1
Polk County,9,0
Randolph County,67,2
Richmond County,17,2
Robeson County,17,0
Rockingham County,16,2
Rowan County,220,10
Rutherford County,59,2
Sampson County,18,0
Scotland County,11,0
Stanly County,20,1
Stokes County,10,0
Surry County,16,0
Transylvania County,6,0
Tyrrell County,4,0
Union County,137,3
Vance County,28,1
Wake County,566,3
Warren County,3,0
Washington County,18,2
Watauga County,8,0
Wayne County,239,4
Wilkes County,4,1
Wilson County,96,3
Yadkin County,11,1
