county,dhhs_cases,dhhs_deaths

Alamance County,128,2
Alexander County,4,0
Alleghany County,6,0
Anson County,30,0
Ashe County,5,0
Beaufort County,21,0
Bertie County,48,2
Bladen County,29,0
Brunswick County,46,2
Buncombe County,77,4
Burke County,112,9
Cabarrus County,314,13
Caldwell County,36,0
Camden County,2,0
Carteret County,27,3
Caswell County,32,0
Catawba County,57,1
Chatham County,383,10
Cherokee County,19,1
Chowan County,6,0
Clay County,5,0
Cleveland County,47,2
Columbus County,167,10
Craven County,44,4
Cumberland County,279,8
Currituck County,5,0
Dare County,13,1
Davidson County,179,9
Davie County,31,2
Duplin County,120,1
Durham County,767,23
Edgecombe County,113,5
Forsyth County,271,5
Franklin County,105,19
Gaston County,145,3
Gates County,9,0
Graham County,1,0
Granville County,160,5
Greene County,22,0
Guilford County,443,31
Halifax County,64,1
Harnett County,182,8
Haywood County,13,0
Henderson County,203,21
Hertford County,44,1
Hoke County,97,0
Hyde County,1,0
Iredell County,120,5
Jackson County,16,0
Johnston County,166,15
Jones County,18,2
Lee County,202,1
Lenoir County,84,4
Lincoln County,32,0
Macon County,3,1
Madison County,1,0
Martin County,21,1
McDowell County,27,1
Mecklenburg County,"1,734",50
Mitchell County,5,0
Montgomery County,36,2
Moore County,84,3
Nash County,100,3
New Hanover County,79,3
Northampton County,92,4
Onslow County,50,2
Orange County,229,18
Pamlico County,8,0
Pasquotank County,37,1
Pender County,17,0
Perquimans County,14,1
Person County,23,1
Pitt County,135,2
Polk County,25,0
Randolph County,242,3
Richmond County,58,2
Robeson County,204,3
Rockingham County,27,2
Rowan County,392,24
Rutherford County,146,4
Sampson County,88,0
Scotland County,30,0
Stanly County,29,4
Stokes County,10,0
Surry County,16,1
Swain County,4,0
Transylvania County,7,0
Tyrrell County,4,0
Union County,263,12
Vance County,112,7
Wake County,891,19
Warren County,17,0
Washington County,25,3
Watauga County,8,0
Wayne County,685,11
Wilkes County,115,1
Wilson County,180,7
Yadkin County,24,1
Yancey County,1,0
