county,dhhs_cases,dhhs_deaths

Alamance County,73,1
Alexander County,4,0
Alleghany County,2,0
Anson County,19,0
Ashe County,4,0
Beaufort County,16,0
Bertie County,33,1
Bladen County,6,0
Brunswick County,39,2
Buncombe County,49,3
Burke County,82,8
Cabarrus County,239,6
Caldwell County,27,0
Carteret County,22,2
Caswell County,14,0
Catawba County,47,1
Chatham County,179,6
Cherokee County,15,1
Chowan County,6,0
Clay County,5,0
Cleveland County,45,2
Columbus County,80,5
Craven County,39,4
Cumberland County,161,6
Currituck County,2,0
Dare County,11,1
Davidson County,113,2
Davie County,28,2
Duplin County,45,0
Durham County,494,8
Edgecombe County,67,1
Forsyth County,142,5
Franklin County,87,14
Gaston County,127,3
Gates County,6,0
Granville County,121,5
Greene County,15,0
Guilford County,272,16
Halifax County,39,1
Harnett County,77,5
Haywood County,5,0
Henderson County,147,14
Hertford County,17,1
Hoke County,40,0
Iredell County,93,3
Jackson County,3,0
Johnston County,125,10
Jones County,9,2
Lee County,81,0
Lenoir County,37,1
Lincoln County,24,0
Macon County,2,1
Martin County,13,0
McDowell County,20,0
Mecklenburg County,"1,407",35
Mitchell County,5,0
Montgomery County,20,1
Moore County,67,2
Nash County,71,1
New Hanover County,66,3
Northampton County,79,3
Onslow County,40,1
Orange County,200,8
Pamlico County,7,0
Pasquotank County,34,1
Pender County,10,0
Perquimans County,10,0
Person County,18,0
Pitt County,104,2
Polk County,13,0
Randolph County,107,2
Richmond County,30,2
Robeson County,85,3
Rockingham County,21,2
Rowan County,323,16
Rutherford County,105,4
Sampson County,31,0
Scotland County,17,0
Stanly County,24,4
Stokes County,11,0
Surry County,12,0
Transylvania County,7,0
Tyrrell County,4,0
Union County,190,7
Vance County,40,2
Wake County,633,11
Warren County,3,0
Washington County,21,2
Watauga County,8,0
Wayne County,603,6
Wilkes County,11,1
Wilson County,136,6
Yadkin County,11,1
