county,dhhs_cases,dhhs_deaths

Alamance County,181,8
Alexander County,14,0
Alleghany County,9,0
Anson County,34,0
Ashe County,16,0
Beaufort County,25,0
Bertie County,72,3
Bladen County,63,1
Brunswick County,50,2
Buncombe County,105,4
Burke County,148,13
Cabarrus County,361,18
Caldwell County,67,1
Camden County,2,0
Carteret County,34,3
Caswell County,40,1
Catawba County,85,2
Chatham County,468,11
Cherokee County,18,1
Chowan County,12,0
Clay County,5,0
Cleveland County,51,2
Columbus County,216,17
Craven County,55,4
Cumberland County,398,10
Currituck County,9,0
Dare County,17,1
Davidson County,232,10
Davie County,37,2
Duplin County,274,4
Durham County,903,35
Edgecombe County,157,7
Forsyth County,449,5
Franklin County,119,20
Gaston County,181,5
Gates County,11,0
Graham County,2,0
Granville County,171,6
Greene County,37,1
Guilford County,670,44
Halifax County,96,1
Harnett County,228,15
Haywood County,19,0
Henderson County,250,30
Hertford County,49,1
Hoke County,128,0
Hyde County,1,0
Iredell County,162,5
Jackson County,22,1
Johnston County,220,17
Jones County,20,2
Lee County,285,2
Lenoir County,125,5
Lincoln County,42,0
Macon County,3,1
Madison County,1,0
Martin County,33,3
McDowell County,29,1
Mecklenburg County,"2,204",61
Mitchell County,5,0
Montgomery County,43,2
Moore County,112,10
Nash County,133,3
New Hanover County,112,3
Northampton County,122,9
Onslow County,59,2
Orange County,258,34
Pamlico County,8,0
Pasquotank County,81,5
Pender County,40,1
Perquimans County,19,2
Person County,31,1
Pitt County,182,2
Polk County,29,3
Randolph County,369,6
Richmond County,98,2
Robeson County,440,4
Rockingham County,43,2
Rowan County,497,25
Rutherford County,154,5
Sampson County,176,1
Scotland County,43,0
Stanly County,30,4
Stokes County,18,0
Surry County,47,1
Swain County,5,0
Transylvania County,7,0
Tyrrell County,4,0
Union County,304,16
Vance County,173,16
Wake County,"1,080",25
Warren County,23,0
Washington County,25,3
Watauga County,9,0
Wayne County,760,13
Wilkes County,262,1
Wilson County,216,9
Yadkin County,75,1
Yancey County,8,0
